HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"CARSON TAHOE REGIONAL MEDICAL CENTER","290019","NV","READM-30-CABG-HRRP","78","","1.1046","14.3","12.9","14","01-JUL-13","30-JUN-16"
"CARSON TAHOE REGIONAL MEDICAL CENTER","290019","NV","READM-30-PN-HRRP","922","","0.8698","14.1","16.2","122","01-JUL-13","30-JUN-16"
"VALLEY HOSPITAL MEDICAL CENTER","290021","NV","READM-30-HF-HRRP","270","","1.0990","25.5","23.2","75","01-JUL-13","30-JUN-16"
"ST JOSEPH'S HOSPITAL","240063","MN","READM-30-COPD-HRRP","100","","0.9788","19.6","20.0","18","01-JUL-13","30-JUN-16"
"LAKEVIEW MEMORIAL HOSPITAL","240066","MN","READM-30-PN-HRRP","Not Available","","0.9396","13.0","13.9","Too Few to Report","01-JUL-13","30-JUN-16"
"DISTRICT ONE HOSPITAL","240071","MN","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","240075","MN","READM-30-HF-HRRP","225","","1.0070","20.7","20.6","47","01-JUL-13","30-JUN-16"
"BUFFALO HOSPITAL","240076","MN","READM-30-PN-HRRP","62","","1.0479","15.2","14.5","12","01-JUL-13","30-JUN-16"
"FAIRVIEW SOUTHDALE HOSPITAL","240078","MN","READM-30-COPD-HRRP","156","","0.9819","18.2","18.5","27","01-JUL-13","30-JUN-16"
"FULTON MEDICAL CENTER LLC","260209","MO","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL","260216","MO","READM-30-AMI-HRRP","229","","1.0072","14.2","14.1","33","01-JUL-13","30-JUN-16"
"BLACK RIVER COMMUNITY MEDICAL CENTER","260227","MO","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MAGEE GENERAL HOSPITAL","250124","MS","READM-30-COPD-HRRP","74","","1.0266","16.5","16.0","14","01-JUL-13","30-JUN-16"
"NORTH OAK REGIONAL MEDICAL CENTER","250126","MS","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTH OAK REGIONAL MEDICAL CENTER","250126","MS","READM-30-COPD-HRRP","102","","1.0046","18.3","18.2","19","01-JUL-13","30-JUN-16"
"NORTH OAK REGIONAL MEDICAL CENTER","250126","MS","READM-30-HF-HRRP","Not Available","","1.0075","19.9","19.8","Too Few to Report","01-JUL-13","30-JUN-16"
"PANOLA MEDICAL CENTER","250128","MS","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MERIT HEALTH WOMEN'S HOSPITAL","250136","MS","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MERIT HEALTH RIVER OAKS","250138","MS","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL DESOTO","250141","MS","READM-30-CABG-HRRP","146","","1.1952","16.3","13.6","29","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL DESOTO","250141","MS","READM-30-COPD-HRRP","505","","1.0776","21.5","19.9","114","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL DESOTO","250141","MS","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL DESOTO","250141","MS","READM-30-PN-HRRP","1154","","1.1216","19.6","17.5","233","01-JUL-13","30-JUN-16"
"ALLIANCE HEALTH CENTER","250151","MS","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ROCHESTER GENERAL HOSPITAL","330125","NY","READM-30-CABG-HRRP","146","","1.1320","15.3","13.5","26","01-JUL-13","30-JUN-16"
"ROCHESTER GENERAL HOSPITAL","330125","NY","READM-30-COPD-HRRP","257","","1.1146","22.9","20.5","67","01-JUL-13","30-JUN-16"
"ORANGE REGIONAL MEDICAL CENTER","330126","NY","READM-30-COPD-HRRP","874","","1.1106","22.4","20.2","204","01-JUL-13","30-JUN-16"
"JACOBI MEDICAL CENTER","330127","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ELMHURST HOSPITAL CENTER","330128","NY","READM-30-HF-HRRP","150","","0.9887","19.1","19.3","28","01-JUL-13","30-JUN-16"
"SIERRA MEDICAL CENTER","450668","TX","READM-30-COPD-HRRP","268","","0.9734","17.5","18.0","45","01-JUL-13","30-JUN-16"
"MEDICAL CITY ARLINGTON","450675","TX","READM-30-CABG-HRRP","Not Available","","1.0223","14.8","14.4","Too Few to Report","01-JUL-13","30-JUN-16"
"FORBES HOSPITAL","390267","PA","READM-30-AMI-HRRP","109","","0.9288","15.5","16.7","12","01-JUL-13","30-JUN-16"
"FORBES HOSPITAL","390267","PA","READM-30-CABG-HRRP","Not Available","","0.9804","14.3","14.6","Too Few to Report","01-JUL-13","30-JUN-16"
"GEISINGER WYOMING VALLEY MEDICAL CENTER","390270","PA","READM-30-HF-HRRP","766","","0.9849","21.7","22.0","165","01-JUL-13","30-JUN-16"
"ROXBOROUGH MEMORIAL HOSPITAL","390304","PA","READM-30-HF-HRRP","148","","1.0961","27.0","24.6","46","01-JUL-13","30-JUN-16"
"EDGEWOOD SURGICAL HOSPITAL","390307","PA","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EDGEWOOD SURGICAL HOSPITAL","390307","PA","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EDGEWOOD SURGICAL HOSPITAL","390307","PA","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH","390321","PA","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH","390321","PA","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL LLC","390322","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ADVANCED SURGICAL HOSPITAL","390323","PA","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-HIP-KNEE-HRRP","181","","1.1621","5.1","4.4","12","01-JUL-13","30-JUN-16"
"METROPLEX HOSPITAL","450152","TX","READM-30-AMI-HRRP","87","","1.0259","17.6","17.1","17","01-JUL-13","30-JUN-16"
"METROPLEX HOSPITAL","450152","TX","READM-30-HF-HRRP","250","","0.9322","20.9","22.5","48","01-JUL-13","30-JUN-16"
"VAL VERDE REGIONAL MEDICAL CENTER","450154","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"VAL VERDE REGIONAL MEDICAL CENTER","450154","TX","READM-30-COPD-HRRP","72","","1.0498","17.5","16.7","16","01-JUL-13","30-JUN-16"
"VAL VERDE REGIONAL MEDICAL CENTER","450154","TX","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GRACE MEDICAL CENTER","450162","TX","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GRACE MEDICAL CENTER","450162","TX","READM-30-HIP-KNEE-HRRP","359","","0.9415","4.5","4.8","15","01-JUL-13","30-JUN-16"
"CHRISTUS SPOHN HOSPITAL KLEBERG","450163","TX","READM-30-COPD-HRRP","76","","0.9603","19.7","20.5","12","01-JUL-13","30-JUN-16"
"CHRISTUS SPOHN HOSPITAL KLEBERG","450163","TX","READM-30-PN-HRRP","240","","1.0799","17.7","16.4","47","01-JUL-13","30-JUN-16"
"SOUTH TEXAS REGIONAL MEDICAL CENTER","450165","TX","READM-30-PN-HRRP","200","","1.0261","15.8","15.4","33","01-JUL-13","30-JUN-16"
"JOHNSTON HEALTH","340090","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"THE MOSES H CONE MEMORIAL HOSPITAL","340091","NC","READM-30-CABG-HRRP","147","","0.9305","13.0","13.9","17","01-JUL-13","30-JUN-16"
"TEMPLE UNIVERSITY HOSPITAL","390027","PA","READM-30-PN-HRRP","227","","0.9737","18.8","19.3","41","01-JUL-13","30-JUN-16"
"LEHIGH VALLEY HOSPITAL-SCHUYLKILL S. JACKSON STREE","390030","PA","READM-30-COPD-HRRP","258","","1.0265","19.4","18.9","52","01-JUL-13","30-JUN-16"
"LEHIGH VALLEY HOSPITAL-SCHUYLKILL E. NORWEGIAN STR","390031","PA","READM-30-PN-HRRP","317","","1.0303","17.4","16.9","57","01-JUL-13","30-JUN-16"
"HERITAGE VALLEY BEAVER","390036","PA","READM-30-COPD-HRRP","217","","1.1184","20.2","18.1","52","01-JUL-13","30-JUN-16"
"READING HOSPITAL","390044","PA","READM-30-AMI-HRRP","419","","0.9987","15.5","15.6","65","01-JUL-13","30-JUN-16"
"TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH","450677","TX","READM-30-COPD-HRRP","297","","0.9734","20.5","21.1","59","01-JUL-13","30-JUN-16"
"TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH","450677","TX","READM-30-PN-HRRP","476","","0.9467","17.5","18.5","80","01-JUL-13","30-JUN-16"
"BAYLOR SCOTT AND WHITE MEDICAL CENTER WHITE ROCK","450678","TX","READM-30-COPD-HRRP","196","","1.0024","18.3","18.2","36","01-JUL-13","30-JUN-16"
"MEMORIAL HERMANN NORTHEAST","450684","TX","READM-30-HF-HRRP","520","","1.0604","23.9","22.5","128","01-JUL-13","30-JUN-16"
"UNIVERSITY MEDICAL CENTER","450686","TX","READM-30-AMI-HRRP","198","","1.0933","15.8","14.4","37","01-JUL-13","30-JUN-16"
"UNIVERSITY MEDICAL CENTER","450686","TX","READM-30-COPD-HRRP","326","","0.8928","16.6","18.6","46","01-JUL-13","30-JUN-16"
"DALLAS REGIONAL MEDICAL CENTER","450688","TX","READM-30-COPD-HRRP","127","","1.0307","21.1","20.4","29","01-JUL-13","30-JUN-16"
"UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER","450690","TX","READM-30-AMI-HRRP","Not Available","","0.9703","15.5","16.0","Too Few to Report","01-JUL-13","30-JUN-16"
"EL CAMPO MEMORIAL HOSPITAL","450694","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EL CAMPO MEMORIAL HOSPITAL","450694","TX","READM-30-PN-HRRP","Not Available","","0.9612","16.5","17.2","Too Few to Report","01-JUL-13","30-JUN-16"
"SOUTHWEST GENERAL HOSPITAL","450697","TX","READM-30-HF-HRRP","152","","0.9834","23.1","23.5","34","01-JUL-13","30-JUN-16"
"SOUTHWEST GENERAL HOSPITAL","450697","TX","READM-30-PN-HRRP","153","","0.9666","18.3","18.9","26","01-JUL-13","30-JUN-16"
"LAMB HEALTHCARE CENTER","450698","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BELLEVUE HOSPITAL","360107","OH","READM-30-HIP-KNEE-HRRP","Not Available","","0.8938","3.9","4.4","Too Few to Report","01-JUL-13","30-JUN-16"
"COSHOCTON REGIONAL MEDICAL CENTER","360109","OH","READM-30-PN-HRRP","231","","1.0660","17.1","16.0","43","01-JUL-13","30-JUN-16"
"MERCY ST VINCENT MEDICAL CENTER","360112","OH","READM-30-HF-HRRP","503","","0.9612","22.0","22.8","108","01-JUL-13","30-JUN-16"
"ST JOHN MEDICAL CENTER","360123","OH","READM-30-HIP-KNEE-HRRP","309","","1.0386","4.6","4.5","15","01-JUL-13","30-JUN-16"
"AUBURN  COMMUNITY  HOSPITAL","330235","NY","READM-30-HIP-KNEE-HRRP","Not Available","","0.9857","5.2","5.3","Too Few to Report","01-JUL-13","30-JUN-16"
"AUBURN  COMMUNITY  HOSPITAL","330235","NY","READM-30-PN-HRRP","511","","1.1921","19.9","16.7","112","01-JUL-13","30-JUN-16"
"WOMAN'S CHRISTIAN ASSOCIATION","330239","NY","READM-30-PN-HRRP","339","","1.1140","17.7","15.9","66","01-JUL-13","30-JUN-16"
"CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR","330250","NY","READM-30-HIP-KNEE-HRRP","295","","1.0652","5.0","4.7","16","01-JUL-13","30-JUN-16"
"MERCY MEDICAL CENTER","330259","NY","READM-30-HF-HRRP","249","","1.1807","25.9","21.9","75","01-JUL-13","30-JUN-16"
"PHELPS MEMORIAL HOSPITAL ASSN","330261","NY","READM-30-PN-HRRP","465","","1.0435","17.5","16.8","84","01-JUL-13","30-JUN-16"
"ST LUKE'S CORNWALL HOSPITAL","330264","NY","READM-30-HF-HRRP","485","","0.9158","19.4","21.2","89","01-JUL-13","30-JUN-16"
"COBLESKILL REGIONAL HOSPITAL","330268","NY","READM-30-PN-HRRP","Not Available","","0.8846","12.8","14.5","Too Few to Report","01-JUL-13","30-JUN-16"
"HOSPITAL FOR SPECIAL SURGERY","330270","NY","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CAROLINAS HEALTHCARE SYSTEM PINEVILLE","340098","NC","READM-30-HIP-KNEE-HRRP","894","","1.2357","4.8","3.9","47","01-JUL-13","30-JUN-16"
"CAROLINAS HEALTHCARE SYSTEM PINEVILLE","340098","NC","READM-30-PN-HRRP","925","","0.9017","14.1","15.7","125","01-JUL-13","30-JUN-16"
"VIDANT ROANOKE CHOWAN HOSPITAL","340099","NC","READM-30-HF-HRRP","290","","1.1982","25.4","21.2","85","01-JUL-13","30-JUN-16"
"VIDANT ROANOKE CHOWAN HOSPITAL","340099","NC","READM-30-PN-HRRP","369","","1.0745","17.1","15.9","67","01-JUL-13","30-JUN-16"
"SANDHILLS REGIONAL MEDICAL CENTER","340106","NC","READM-30-HF-HRRP","123","","0.9789","20.6","21.0","24","01-JUL-13","30-JUN-16"
"VIDANT EDGECOMBE HOSPITAL","340107","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SENTARA ALBEMARLE MEDICAL CENTER","340109","NC","READM-30-AMI-HRRP","107","","0.9155","15.6","17.0","11","01-JUL-13","30-JUN-16"
"SENTARA ALBEMARLE MEDICAL CENTER","340109","NC","READM-30-PN-HRRP","431","","0.9071","14.7","16.2","58","01-JUL-13","30-JUN-16"
"REX HOSPITAL","340114","NC","READM-30-PN-HRRP","1134","","0.9134","14.9","16.3","164","01-JUL-13","30-JUN-16"
"VIDANT DUPLIN  HOSPITAL","340120","NC","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"VIDANT DUPLIN  HOSPITAL","340120","NC","READM-30-COPD-HRRP","98","","1.0409","19.5","18.7","22","01-JUL-13","30-JUN-16"
"GEISINGER-LEWISTOWN HOSPITAL","390048","PA","READM-30-AMI-HRRP","57","","1.0094","19.9","19.8","12","01-JUL-13","30-JUN-16"
"DECATUR COUNTY GENERAL HOSPITAL","440070","TN","READM-30-COPD-HRRP","54","","0.9901","21.8","22.0","11","01-JUL-13","30-JUN-16"
"DECATUR COUNTY GENERAL HOSPITAL","440070","TN","READM-30-PN-HRRP","168","","1.1003","18.2","16.5","36","01-JUL-13","30-JUN-16"
"MAURY REGIONAL HOSPITAL","440073","TN","READM-30-PN-HRRP","1128","","1.0802","18.6","17.2","214","01-JUL-13","30-JUN-16"
"LECONTE MEDICAL CENTER","440081","TN","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SWEETWATER HOSPITAL ASSOCIATION","440084","TN","READM-30-HF-HRRP","79","","1.0222","21.1","20.6","18","01-JUL-13","30-JUN-16"
"MEMORIAL HEALTHCARE SYSTEM, INC","440091","TN","READM-30-AMI-HRRP","885","","1.0725","15.5","14.5","142","01-JUL-13","30-JUN-16"
"MEMORIAL HEALTHCARE SYSTEM, INC","440091","TN","READM-30-HF-HRRP","1473","","0.8345","17.7","21.2","250","01-JUL-13","30-JUN-16"
"LINCOLN MEDICAL CENTER","440102","TN","READM-30-HF-HRRP","107","","0.9356","18.7","20.0","16","01-JUL-13","30-JUN-16"
"FORT HAMILTON HUGHES MEMORIAL HOSPITAL","360132","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GRANDVIEW HOSPITAL & MEDICAL CENTER","360133","OH","READM-30-AMI-HRRP","111","","0.9587","15.0","15.7","14","01-JUL-13","30-JUN-16"
"GRANDVIEW HOSPITAL & MEDICAL CENTER","360133","OH","READM-30-COPD-HRRP","233","","0.9380","20.1","21.4","42","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","360134","OH","READM-30-COPD-HRRP","315","","0.9506","18.3","19.2","54","01-JUL-13","30-JUN-16"
"STEWARD NORTHSIDE MEDICAL CENTER, INC","360141","OH","READM-30-AMI-HRRP","132","","1.0612","16.1","15.1","25","01-JUL-13","30-JUN-16"
"STEWARD NORTHSIDE MEDICAL CENTER, INC","360141","OH","READM-30-COPD-HRRP","89","","1.0215","18.5","18.1","18","01-JUL-13","30-JUN-16"
"SOUTH POINTE HOSPITAL","360144","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WAYNESBORO HOSPITAL","390138","PA","READM-30-COPD-HRRP","163","","0.9983","20.3","20.4","33","01-JUL-13","30-JUN-16"
"WAYNESBORO HOSPITAL","390138","PA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MAIN LINE HOSPITAL BRYN MAWR CAMPUS","390139","PA","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ALBERT EINSTEIN MEDICAL CENTER","390142","PA","READM-30-COPD-HRRP","248","","1.0131","19.4","19.1","49","01-JUL-13","30-JUN-16"
"EXCELA HEALTH WESTMORELAND HOSPITAL","390145","PA","READM-30-COPD-HRRP","249","","1.0168","19.2","18.9","49","01-JUL-13","30-JUN-16"
"MID-COLUMBIA MEDICAL CENTER","380001","OR","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PROVIDENCE ST VINCENT MEDICAL CENTER","380004","OR","READM-30-HF-HRRP","706","","0.9254","18.6","20.1","127","01-JUL-13","30-JUN-16"
"ASANTE ASHLAND COMMUNITY HOSPITAL","380005","OR","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OHSU HOSPITAL AND CLINICS","380009","OR","READM-30-HF-HRRP","322","","0.9408","20.4","21.7","62","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN REGIONAL MEDICAL CENTER","380014","OR","READM-30-CABG-HRRP","Not Available","","0.9052","10.7","11.9","Too Few to Report","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN REGIONAL MEDICAL CENTER","380014","OR","READM-30-COPD-HRRP","91","","0.9712","18.8","19.4","15","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN REGIONAL MEDICAL CENTER","380014","OR","READM-30-HIP-KNEE-HRRP","325","","0.9116","3.9","4.3","11","01-JUL-13","30-JUN-16"
"LEGACY GOOD SAMARITAN MEDICAL CENTER","380017","OR","READM-30-PN-HRRP","186","","0.9682","15.0","15.4","26","01-JUL-13","30-JUN-16"
"ASANTE ROGUE REGIONAL MEDICAL CENTER","380018","OR","READM-30-CABG-HRRP","281","","1.0379","13.1","12.7","38","01-JUL-13","30-JUN-16"
"MCKENZIE-WILLAMETTE MEDICAL CENTER","380020","OR","READM-30-CABG-HRRP","Not Available","","1.0183","12.2","12.0","Too Few to Report","01-JUL-13","30-JUN-16"
"MCKENZIE-WILLAMETTE MEDICAL CENTER","380020","OR","READM-30-PN-HRRP","259","","1.0560","15.1","14.3","42","01-JUL-13","30-JUN-16"
"TUALITY COMMUNITY HOSPITAL","380021","OR","READM-30-HF-HRRP","107","","0.9741","19.2","19.7","19","01-JUL-13","30-JUN-16"
"TUALITY COMMUNITY HOSPITAL","380021","OR","READM-30-PN-HRRP","136","","1.0446","14.4","13.8","22","01-JUL-13","30-JUN-16"
"SAMARITAN ALBANY GENERAL HOSPITAL","380022","OR","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAMARITAN ALBANY GENERAL HOSPITAL","380022","OR","READM-30-HF-HRRP","118","","0.9777","19.8","20.2","22","01-JUL-13","30-JUN-16"
"PHS INDIAN HOSPITAL AT PINE RIDGE","430081","SD","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHS INDIAN HOSPITAL AT PINE RIDGE","430081","SD","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHS INDIAN HOSPITAL AT PINE RIDGE","430081","SD","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL UNION CITY","440130","TN","READM-30-HIP-KNEE-HRRP","Not Available","","1.0282","4.8","4.6","Too Few to Report","01-JUL-13","30-JUN-16"
"HOUSTON METHODIST SAN JACINTO HOSPITAL","450424","TX","READM-30-COPD-HRRP","465","","0.9175","18.8","20.5","81","01-JUL-13","30-JUN-16"
"NAVARRO REGIONAL HOSPITAL","450447","TX","READM-30-HIP-KNEE-HRRP","Not Available","","0.9025","5.0","5.5","Too Few to Report","01-JUL-13","30-JUN-16"
"TYLER COUNTY HOSPITAL","450460","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MATAGORDA REGIONAL MEDICAL CENTER","450465","TX","READM-30-AMI-HRRP","Not Available","","0.9849","17.0","17.2","Too Few to Report","01-JUL-13","30-JUN-16"
"MATAGORDA REGIONAL MEDICAL CENTER","450465","TX","READM-30-PN-HRRP","150","","0.9153","16.7","18.3","20","01-JUL-13","30-JUN-16"
"WILSON N JONES REGIONAL MEDICAL CENTER","450469","TX","READM-30-HIP-KNEE-HRRP","Not Available","","1.0680","5.9","5.5","Too Few to Report","01-JUL-13","30-JUN-16"
"ETMC HENDERSON","450475","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ETMC HENDERSON","450475","TX","READM-30-COPD-HRRP","107","","0.9794","17.3","17.6","17","01-JUL-13","30-JUN-16"
"WOODLAND HEIGHTS MEDICAL CENTER","450484","TX","READM-30-CABG-HRRP","Not Available","","0.9649","15.8","16.4","Too Few to Report","01-JUL-13","30-JUN-16"
"MONONGAHELA VALLEY HOSPITAL","390147","PA","READM-30-AMI-HRRP","110","","1.0107","17.5","17.4","20","01-JUL-13","30-JUN-16"
"MONONGAHELA VALLEY HOSPITAL","390147","PA","READM-30-HIP-KNEE-HRRP","Not Available","","1.2354","5.8","4.7","Too Few to Report","01-JUL-13","30-JUN-16"
"MONONGAHELA VALLEY HOSPITAL","390147","PA","READM-30-PN-HRRP","204","","1.0836","17.4","16.0","40","01-JUL-13","30-JUN-16"
"WASHINGTON HEALTH SYSTEM GREENE","390150","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WASHINGTON HEALTH SYSTEM GREENE","390150","PA","READM-30-COPD-HRRP","57","","1.0278","19.3","18.8","13","01-JUL-13","30-JUN-16"
"MERCY FITZGERALD HOSPITAL","390156","PA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EASTON HOSPITAL","390162","PA","READM-30-AMI-HRRP","210","","0.9817","16.8","17.1","34","01-JUL-13","30-JUN-16"
"ACMH HOSPITAL","390163","PA","READM-30-HF-HRRP","111","","0.8997","19.3","21.4","15","01-JUL-13","30-JUN-16"
"ACMH HOSPITAL","390163","PA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9008","4.2","4.6","Too Few to Report","01-JUL-13","30-JUN-16"
"IRA DAVENPORT MEMORIAL HOSPITAL, INC","330144","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHS INDIAN HOSPITAL AT EAGLE BUTTE","430083","SD","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHS INDIAN HOSPITAL AT EAGLE BUTTE","430083","SD","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHS INDIAN HOSPITAL AT ROSEBUD","430084","SD","READM-30-PN-HRRP","Not Available","","1.0025","16.7","16.7","Too Few to Report","01-JUL-13","30-JUN-16"
"BLACK HILLS SURGICAL HOSPITAL LLP","430091","SD","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAME DAY SURGERY CENTER LLC","430093","SD","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"UNICOI COUNTY MEMORIAL HOSPITAL","440001","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"JACKSON-MADISON COUNTY GENERAL HOSPITAL","440002","TN","READM-30-HIP-KNEE-HRRP","880","","0.8798","4.1","4.7","34","01-JUL-13","30-JUN-16"
"JACKSON-MADISON COUNTY GENERAL HOSPITAL","440002","TN","READM-30-PN-HRRP","1595","","1.0214","18.8","18.4","301","01-JUL-13","30-JUN-16"
"TRISTAR SKYLINE MEDICAL CENTER","440006","TN","READM-30-PN-HRRP","504","","1.1022","19.1","17.3","102","01-JUL-13","30-JUN-16"
"UNITY MEDICAL CENTER","440007","TN","READM-30-PN-HRRP","200","","0.9790","15.1","15.4","29","01-JUL-13","30-JUN-16"
